run,type,module,name,attrname,attrvalue,value
Secure50_bloom-0-20250914-01:27:43-67754,config,,,extends,Secure50_record,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.duplicateMethod,"""bloom""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,LightIoTNetwork.numSensorNodes,50,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.fakeNode.enabled,false,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.sensor[*].mode,"""Secure""",
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,description,Secure Mode Simulation (includes all scenarios),
Secure50_bloom-0-20250914-01:27:43-67754,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,ned-path,.,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,record-eventlog,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,cmdenv-express-mode,false,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-scalar-file,results/secure_output.sca,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-vector-file,results/secure_output.vec,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,network,LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-scalar-file,results/nosecure_output.sca,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-vector-file,results/nosecure_output.vec,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,network,LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-scalar-file,results/attack_output.sca,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-vector-file,results/attack_output.vec,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-scalar-file,results/Secure50_bloom-0.sca,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,output-vector-file,results/Secure50_bloom-0.vec,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.statistic-recording,true,
Secure50_bloom-0-20250914-01:27:43-67754,config,,,**.result-recording-modes,all,
