run,type,module,name,attrname,attrvalue,value
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-scalar-file,results/attack_output.sca,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-vector-file,results/attack_output.vec,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-scalar-file,results/Attack20_sbf-0.sca,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-vector-file,results/Attack20_sbf-0.vec,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.scalar-recording,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.vector-recording,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.statistic-recording,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.result-recording-modes,all,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,rng-class,cMersenneTwister,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,num-rngs,1,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,seed-set,123,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.scalar-recording,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.vector-recording,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.result-recording-modes,all,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-scalar-file,results/Attack20_sbf-0.sca,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,output-vector-file,results/Attack20_sbf-0.vec,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.sensor[*].sendInterval,0.5s,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.sensor[*].mode,"""Secure""",
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.procDelay,1ms,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.hmacWindow,1s,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.costForward_mJ,5,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.costVerify_mJ,5,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.batteryInit_mJ,5000,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.securityEnabled,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.checkHmac,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.checkFreshness,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.checkDuplicate,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.duplicateMethod,"""set""",
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.bloomBits,16384,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.bloomHashes,3,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.sbfBits,16384,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.sbfHashes,3,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.gateway.sbfDecay,0.02,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.enabled,false,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.attackMode,1,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.replayInterval,2.5s,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.validMac,true,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.replayId,100000,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.replayTsUs,500000,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.dupBurstLen,4,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.dupBurstGap,200ms,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,**.fakeNode.outOfOrderJitter,80ms,
Attack20_sbf-0-20250912-21:40:14-7308,config,,,sim-time-limit,10s,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,configname,Attack5_bloom,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,datetime,20250912-21:40:14,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,datetimef,20250912-214014,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,experiment,Attack5_bloom,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,inifile,run_record.ini,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,iterationvars,,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,iterationvarsd,,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,iterationvarsf,,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,measurement,,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,network,ned.LightIoTNetwork,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,processid,7299,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,repetition,0,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,replication,#0,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,resultdir,results,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,runnumber,0,
Attack5_bloom-0-20250912-21:40:14-7299,runattr,,,seedset,123,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.result-recording-modes,all,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.scalar-recording,true,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.vector-recording,true,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,output-scalar-file,results/Attack5_bloom-0.sca,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,output-vector-file,results/Attack5_bloom-0.vec,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,record-eventlog,false,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,extends,Attack5_record,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.gateway.duplicateMethod,"""bloom""",
Attack5_bloom-0-20250912-21:40:14-7299,config,,,network,ned.LightIoTNetwork,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,LightIoTNetwork.numSensorNodes,5,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.sensor[*].mode,"""Secure""",
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.fakeNode.enabled,true,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.fakeNode.validMac,true,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.gateway.securityEnabled,true,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,**.gateway.hmacWindow,1s,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack5_bloom-0-20250912-21:40:14-7299,config,,,network,ned.LightIoTNetwork,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,ned-path,.,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,sim-time-limit,10s,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,record-eventlog,true,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,cmdenv-express-mode,false,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,network,ned.LightIoTNetwork,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,sim-time-limit,10s,
Attack5_bloom-0-20250912-21:40:14-7299,config,,,output-scalar-file,results/secure_output.sca,
